Controller,timestamp,availability
POX,04/23/15 11:34:29,100
RYU,04/23/15 11:34:29,0
FLOODLIGHT,04/23/15 11:34:29,0
OPENDAYLICHT,04/23/15 11:34:29,0
POX,04/23/15 11:34:34,100
RYU,04/23/15 11:34:34,0
FLOODLIGHT,04/23/15 11:34:34,0
OPENDAYLICHT,04/23/15 11:34:34,0
POX,04/23/15 11:34:39,100
RYU,04/23/15 11:34:39,0
FLOODLIGHT,04/23/15 11:34:39,0
OPENDAYLICHT,04/23/15 11:34:40,0
POX,04/23/15 11:34:45,100
RYU,04/23/15 11:34:45,0
FLOODLIGHT,04/23/15 11:34:45,0
OPENDAYLICHT,04/23/15 11:34:45,0
POX,04/23/15 11:34:50,100
RYU,04/23/15 11:34:50,0
FLOODLIGHT,04/23/15 11:34:50,0
OPENDAYLICHT,04/23/15 11:34:50,0
POX,04/23/15 11:34:56,100
RYU,04/23/15 11:34:56,0
FLOODLIGHT,04/23/15 11:34:56,0
OPENDAYLICHT,04/23/15 11:34:56,0
POX,04/23/15 11:35:01,100
RYU,04/23/15 11:35:02,0
FLOODLIGHT,04/23/15 11:35:02,0
OPENDAYLICHT,04/23/15 11:35:02,0
POX,04/23/15 11:35:07,100
RYU,04/23/15 11:35:07,0
FLOODLIGHT,04/23/15 11:35:07,0
OPENDAYLICHT,04/23/15 11:35:07,0
POX,04/23/15 11:35:12,100
RYU,04/23/15 11:35:12,0
FLOODLIGHT,04/23/15 11:35:13,0
OPENDAYLICHT,04/23/15 11:35:13,0
POX,04/23/15 11:35:19,100
RYU,04/23/15 11:35:19,0
FLOODLIGHT,04/23/15 11:35:19,0
OPENDAYLICHT,04/23/15 11:35:19,0
POX,04/23/15 11:35:24,100
RYU,04/23/15 11:35:24,0
FLOODLIGHT,04/23/15 11:35:24,0
OPENDAYLICHT,04/23/15 11:36:27,0
POX,04/23/15 11:36:32,100
RYU,04/23/15 11:36:32,0
FLOODLIGHT,04/23/15 11:36:32,0
OPENDAYLICHT,04/23/15 11:37:35,0
POX,04/23/15 11:37:40,100
RYU,04/23/15 11:37:40,0
FLOODLIGHT,04/23/15 11:37:40,0
OPENDAYLICHT,04/23/15 11:38:43,0
POX,04/23/15 11:38:48,100
RYU,04/23/15 11:38:48,0
FLOODLIGHT,04/23/15 11:38:48,0
OPENDAYLICHT,04/23/15 11:39:51,0
POX,04/23/15 11:39:56,100
RYU,04/23/15 11:39:57,0
FLOODLIGHT,04/23/15 11:39:57,0
OPENDAYLICHT,04/23/15 11:41:00,0
POX,04/23/15 11:41:05,100
RYU,04/23/15 11:41:05,0
FLOODLIGHT,04/23/15 11:41:05,0
OPENDAYLICHT,04/23/15 11:42:08,0
POX,04/23/15 11:42:13,100
RYU,04/23/15 11:42:13,0
FLOODLIGHT,04/23/15 11:42:13,0
OPENDAYLICHT,04/23/15 11:43:16,0
POX,04/23/15 11:43:21,100
RYU,04/23/15 11:43:21,0
FLOODLIGHT,04/23/15 11:43:22,0
OPENDAYLICHT,04/23/15 11:44:25,0
POX,04/23/15 11:44:30,100
RYU,04/23/15 11:44:30,0
FLOODLIGHT,04/23/15 11:44:30,0
OPENDAYLICHT,04/23/15 11:45:33,0
POX,04/23/15 11:45:38,100
RYU,04/23/15 11:45:38,0
FLOODLIGHT,04/23/15 11:45:38,0
OPENDAYLICHT,04/23/15 11:46:19,0
POX,04/23/15 11:46:24,100
RYU,04/23/15 11:46:24,0
FLOODLIGHT,04/23/15 11:46:24,0
OPENDAYLICHT,04/23/15 11:47:27,0
POX,04/23/15 11:47:32,100
RYU,04/23/15 11:47:32,0
FLOODLIGHT,04/23/15 11:47:32,0
OPENDAYLICHT,04/23/15 11:48:35,0
POX,04/23/15 11:48:40,100
RYU,04/23/15 11:48:40,0
FLOODLIGHT,04/23/15 11:48:40,0
OPENDAYLICHT,04/23/15 11:49:43,0
POX,04/23/15 11:49:48,100
RYU,04/23/15 11:49:48,0
FLOODLIGHT,04/23/15 11:49:48,0
OPENDAYLICHT,04/23/15 11:50:51,0
POX,04/23/15 11:50:57,100
RYU,04/23/15 11:50:57,0
FLOODLIGHT,04/23/15 11:50:57,0
OPENDAYLICHT,04/23/15 11:52:00,0
POX,04/23/15 11:52:05,100
RYU,04/23/15 11:52:05,0
FLOODLIGHT,04/23/15 11:52:05,0
OPENDAYLICHT,04/23/15 11:52:51,0
POX,04/23/15 11:52:56,100
RYU,04/23/15 11:52:56,0
